Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pu_4ldd_11635_uff_E=56.94,-4.8,0.0,0.0
pu_4ldd_11635_uff_E=56.94,-4.8,8.275,1.676
pu_4ldd_11635_uff_E=56.94,-4.8,2.727,1.149
pu_4ldd_11635_uff_E=56.94,-4.7,5.746,2.679
pu_4ldd_11635_uff_E=56.94,-4.6,5.409,2.242
pu_4ldd_11635_uff_E=56.94,-4.6,7.293,1.129
pu_4ldd_11635_uff_E=56.94,-4.5,1.96,1.034
pu_4ldd_11635_uff_E=56.94,-4.5,3.709,2.005
pu_4ldd_11635_uff_E=56.94,-4.5,4.983,2.879
pu_4ldd_11636_uff_E=85.38,-5.5,0.0,0.0
pu_4ldd_11636_uff_E=85.38,-5.0,4.569,2.545
pu_4ldd_11636_uff_E=85.38,-4.8,10.809,4.163
pu_4ldd_11636_uff_E=85.38,-4.8,10.214,3.69
pu_4ldd_11636_uff_E=85.38,-4.5,33.94,30.864
pu_4ldd_11636_uff_E=85.38,-4.5,8.826,3.501
pu_4ldd_11636_uff_E=85.38,-4.4,8.734,4.345
pu_4ldd_11636_uff_E=85.38,-4.4,9.908,5.361
pu_4ldd_11636_uff_E=85.38,-4.3,15.577,10.942
pu_4ldd_14254_uff_E=50.80,-4.6,0.0,0.0
pu_4ldd_14254_uff_E=50.80,-4.4,3.819,1.563
pu_4ldd_14254_uff_E=50.80,-4.3,4.154,2.135
pu_4ldd_14254_uff_E=50.80,-4.1,4.009,1.911
pu_4ldd_14254_uff_E=50.80,-4.0,2.608,1.901
pu_4ldd_14254_uff_E=50.80,-4.0,3.746,2.127
pu_4ldd_14254_uff_E=50.80,-4.0,2.91,1.701
pu_4ldd_14254_uff_E=50.80,-3.9,4.093,1.821
pu_4ldd_14254_uff_E=50.80,-3.8,2.845,1.847
pu_4ldd_15448_uff_E=54.73,-4.6,0.0,0.0
pu_4ldd_15448_uff_E=54.73,-4.4,4.161,1.904
pu_4ldd_15448_uff_E=54.73,-4.3,4.228,1.892
pu_4ldd_15448_uff_E=54.73,-4.3,4.277,2.153
pu_4ldd_15448_uff_E=54.73,-4.2,2.196,1.507
pu_4ldd_15448_uff_E=54.73,-4.1,2.389,1.724
pu_4ldd_15448_uff_E=54.73,-3.9,3.037,1.339
pu_4ldd_15448_uff_E=54.73,-3.9,2.342,1.243
pu_4ldd_15448_uff_E=54.73,-3.9,4.978,2.625
pu_4ldd_1549778_uff_E=108.04,-5.1,0.0,0.0
pu_4ldd_1549778_uff_E=108.04,-5.0,2.855,1.855
pu_4ldd_1549778_uff_E=108.04,-4.9,3.663,2.219
pu_4ldd_1549778_uff_E=108.04,-4.8,3.435,2.101
pu_4ldd_1549778_uff_E=108.04,-4.4,3.577,2.146
pu_4ldd_1549778_uff_E=108.04,-4.3,3.701,1.834
pu_4ldd_1549778_uff_E=108.04,-4.3,15.515,13.959
pu_4ldd_1549778_uff_E=108.04,-4.3,4.124,2.659
pu_4ldd_1549778_uff_E=108.04,-4.1,14.592,13.609
pu_4ldd_244_uff_E=68.48,-4.5,0.0,0.0
pu_4ldd_244_uff_E=68.48,-4.3,2.714,2.334
pu_4ldd_244_uff_E=68.48,-4.2,2.873,1.836
pu_4ldd_244_uff_E=68.48,-4.2,10.323,9.057
pu_4ldd_244_uff_E=68.48,-4.2,3.641,2.636
pu_4ldd_244_uff_E=68.48,-4.2,3.173,2.128
pu_4ldd_244_uff_E=68.48,-4.1,3.807,2.878
pu_4ldd_244_uff_E=68.48,-3.9,13.391,12.206
pu_4ldd_244_uff_E=68.48,-3.9,29.134,27.652
pu_4ldd_31244_uff_E=74.15,-4.5,0.0,0.0
pu_4ldd_31244_uff_E=74.15,-4.3,4.653,0.978
pu_4ldd_31244_uff_E=74.15,-4.2,2.022,1.382
pu_4ldd_31244_uff_E=74.15,-4.1,29.167,27.323
pu_4ldd_31244_uff_E=74.15,-4.1,4.482,2.107
pu_4ldd_31244_uff_E=74.15,-4.1,4.541,2.641
pu_4ldd_31244_uff_E=74.15,-4.0,3.359,2.529
pu_4ldd_31244_uff_E=74.15,-4.0,10.398,7.794
pu_4ldd_31244_uff_E=74.15,-3.9,13.632,12.61
pu_4ldd_4133_uff_E=86.76,-4.9,0.0,0.0
pu_4ldd_4133_uff_E=86.76,-4.8,13.134,12.24
pu_4ldd_4133_uff_E=86.76,-4.8,13.396,12.093
pu_4ldd_4133_uff_E=86.76,-4.7,3.714,2.174
pu_4ldd_4133_uff_E=86.76,-4.7,2.129,1.168
pu_4ldd_4133_uff_E=86.76,-4.7,3.713,2.367
pu_4ldd_4133_uff_E=86.76,-4.5,2.623,1.66
pu_4ldd_4133_uff_E=86.76,-4.4,14.024,12.73
pu_4ldd_4133_uff_E=86.76,-4.3,11.094,10.001
pu_4ldd_440909_uff_E=338.66,-6.5,0.0,0.0
pu_4ldd_440909_uff_E=338.66,-6.4,5.861,1.301
pu_4ldd_440909_uff_E=338.66,-6.2,12.361,9.879
pu_4ldd_440909_uff_E=338.66,-6.1,12.79,10.74
pu_4ldd_440909_uff_E=338.66,-6.0,12.181,10.097
pu_4ldd_440909_uff_E=338.66,-5.9,12.013,9.715
pu_4ldd_440909_uff_E=338.66,-5.8,12.197,9.754
pu_4ldd_440909_uff_E=338.66,-5.8,34.396,31.418
pu_4ldd_440909_uff_E=338.66,-5.7,17.837,15.089
pu_4ldd_454_uff_E=27.41,-4.2,0.0,0.0
